dt,AverageTemperature
2008-08-01,21.9
2008-09-01,19.522
2008-10-01,15.611
2008-11-01,10.293
2008-12-01,8.677
2009-01-01,8.325000000000001
2009-02-01,9.95
2009-03-01,13.79
2009-04-01,12.667
2009-05-01,17.907
2009-06-01,21.329
2009-07-01,22.022
2009-08-01,23.316
2009-09-01,20.923
2009-10-01,18.47
2009-11-01,13.373
2009-12-01,9.73
2010-01-01,8.943999999999999
2010-02-01,9.435
2010-03-01,11.492
2010-04-01,15.353
2010-05-01,16.826
2010-06-01,20.221
2010-07-01,24.23
2010-08-01,24.452
2010-09-01,20.81
2010-10-01,15.689
2010-11-01,11.37
2010-12-01,9.389
2011-01-01,9.085
2011-02-01,10.228
2011-03-01,11.852
2011-04-01,16.883
2011-05-01,19.156
2011-06-01,20.685
2011-07-01,21.696
2011-08-01,22.281
2011-09-01,20.863000000000003
2011-10-01,18.345
2011-11-01,12.409
2011-12-01,9.314
2012-01-01,8.423
2012-02-01,8.078999999999999
2012-03-01,13.24
2012-04-01,11.939
2012-05-01,18.022
2012-06-01,20.446
2012-07-01,22.226
2012-08-01,22.819000000000003
2012-09-01,21.033
2012-10-01,16.404
2012-11-01,12.023
2012-12-01,10.052
2013-01-01,9.71
2013-02-01,9.319
2013-03-01,11.646
2013-04-01,13.642
2013-05-01,15.518999999999998
2013-06-01,19.987
2013-07-01,23.691
2013-08-01,23.6
2013-09-01,
